Name;RegionName
Москва;гор.ф.з. Москва
Санкт-Петербург;гор.ф.з. Санкт-Петербург
Новосибирск;Новосибирская область
Екатеринбург;Свердловская область
Нижний Новгород;Нижегородская область
Казань;Республика Татарстан
Челябинск;Челябинская область
Омск;Омская область
Самара;Самарская область
Ростов-на-Дону;Ростовская область
Уфа;Респ. Башкортостан
Красноярск;Красноярский край
Воронеж;Воронежская область
Пермь;Пермский край
Волгоград;Волгоградская область
Краснодар;Краснодарский край
Саратов;Саратовская область
Тюмень;Тюменская обл. без АО
Тольятти;Самарская область
Ижевск;Удмуртская Республика
Барнаул;Алтайский край
Ульяновск;Ульяновская область
Иркутск;Иркутская область
Хабаровск;Хабаровский край
Ярославль;Ярославская область
Владивосток;Приморский край
Махачкала;Республика Дагестан
Томск;Томская область
Оренбург;Оренбургская область
Кемерово;Кемеровская область
Новокузнецк;Кемеровская область
Рязань;Рязанская область
Астрахань;Астраханская область
Набережные Челны;Республика Татарстан
Пенза;Пензенская область
Киров;Кировская область
Липецк;Липецкая область
Чебоксары;Чувашская Республика
Балашиха;Московская область
Калининград;Калининградская обл.
Тула;Тульская область
Курск;Курская область
Севастополь;Гор.ф.з. Севастополь
Сочи;Краснодарский край
Ставрополь;Ставропольский край
Улан-Удэ;Республика Бурятия
Тверь;Тверская область
Магнитогорск;Челябинская область
Иваново;Ивановская область
Брянск;Брянская область
Белгород;Белгородская область
Сургут;Ханты-Мансийский ао-Югра
Владимир;Владимирская область
Нижний Тагил;Свердловская область
Чита;Забайкальский край
Архангельск;Архангельская обл. без НАО
Симферополь;Республика Крым
Калуга;Калужская область
Смоленск;Смоленская область
Волжский;Волгоградская область
Якутск;Респ. Саха (Якутия)
Саранск;Республика Мордовия
Череповец;Вологодская область
Курган;Курганская область
Вологда;Вологодская область
Орёл;Орловская область
Владикавказ;Респ. Северная Осетия-Алания
Подольск;Московская область
Грозный;Чеченская Республика
Мурманск;Мурманская область
Тамбов;Тамбовская область
Петрозаводск;Республика Карелия
Стерлитамак;Респ. Башкортостан
Нижневартовск;Ханты-Мансийский ао-Югра
Кострома;Костромская область
Новороссийск;Краснодарский край
Йошкар-Ола;Республика Марий Э
Химки;Московская область
Таганрог;Ростовская область
Комсомольск-на-Амуре;Хабаровский край
Сыктывкар;Республика Коми
Нижнекамск;Республика Татарстан
Нальчик;Кабардино-Балкарская Респ.
Шахты;Ростовская область
Дзержинск;Нижегородская область
Орск;Оренбургская область
Братск;Иркутская область
Благовещенск;Амурская область
Энгельс;Саратовская область
Ангарск;Иркутская область
Королёв;Московская область
Великий Новгород;Новгородская область
Старый Оскол;Белгородская область
Мытищи;Московская область
Псков;Псковская область
Люберцы;Московская область
Южно-Сахалинск;Сахалинская область
Бийск;Алтайский край
Прокопьевск;Кемеровская область
Армавир;Краснодарский край
Балаково;Саратовская область
Рыбинск;Ярославская область
Абакан;Республика Хакасия
Северодвинск;Архангельская обл. без НАО
Петропавловск-Камчатский;Камчатский край
Норильск;Красноярский край
Уссурийск;Приморский край
Волгодонск;Ростовская область
Красногорск;Московская область
Сызрань;Самарская область
Новочеркасск;Ростовская область
Каменск - Уральский;Свердловская область
Златоуст;Челябинская область
Электросталь;Московская область
Альметьевск;Республика Татарстан
Салават;Республика Башкортостан
Миасс;Челябинская область
Керчь;Республика Крым
Копейск;Челябинская область
Находка;Приморский край
Пятигорск;Ставропольский край
Хасавюрт;Республика Дагестан
Рубцовск;Алтайский край
Березники;Пермский край
Коломна;Московская область
Майкоп;Республика Адыгея
Одинцово;Московская область
Ковров;Владимирская область
Домодедово;Московская область
Нефтекамск;Респ. Башкортостан
Кисловодск;Ставропольский край
Нефтеюганск;Ханты-Мансийский ао-Югра
Батайск;Ростовская область
Новочебоксарск;Чувашская Республика
Серпухов;Московская область
Щёлково;Московская область
Дербент;Республика Дагестан
Новомосковск;Тульская область
Черкесск;Карачаево-Черкесская Респ.
Первоуральск;Свердловская область
Раменское;Московская область
Назрань;Республика Ингушетия
Каспийск;Республика Дагестан
Обнинск;Калужская область
Орехово-Зуево;Московская область
Кызыл;Республика Тыва
Новый Уренгой;Ямало-Ненецкий АО
Невинномысск;Ставропольский край
Димитровград;Ульяновская область
Октябрьский;Респ. Башкортостан
Долгопрудный;Московская область
Ессентуки;Ставропольский край
Камышин;Волгоградская область
Муром;Владимирская область
Жуковский;Московская область
Евпатория;Республика Крым
Новошахтинск;Ростовская область
Северск;Томская область
Реутов;Московская область
Пушкино;Московская область
Артем;Приморский край
Ноябрьск;Ямало-Ненецкий АО
Ачинск;Красноярский край
Бердск;Новосибирская область
Арзамас;Нижегородская область
Елец;Липецкая область
Элиста;Республика Калмыкия
Ногинск;Московская область
Сергиев Посад;Московская область
Новокуйбышевск;Самарская область
Железногорск;Курская область